Tracking ID,Cod Value,Creation Datetime,Delivery Success Datetime,Delivery Success Hub ID,From Address2,Granular Status,pickup hub id,To Address2,Shop Name,Rider Name,delivery_time_mins,carrier_verified,granular_outlier,fraud_score,fraud
3151694848,1350000.0,2022-05-07 09:08:00,2022-05-07 09:45:00,25,Số 17 Lý Nam Đế,0.0,71," , Quận Tân Phú , Hồ Chí Minh",75,294,37.0,0,0,0.3333333333333333,0
3151694848,1350000.0,2022-05-07 09:08:00,2022-09-07 15:22:00,25,Số 17 Lý Nam Đế,0.0,71," , Quận Tân Phú , Hồ Chí Minh",75,294,177494.0,0,0,0.6666666666666666,1
3902647296,842000.0,2022-04-07 14:42:00,2022-08-07 12:23:00,32,Số 17 Lý Nam Đế,0.0,71," , Huyện Bình Chánh , Hồ Chí Minh",75,411,175541.0,0,0,0.6666666666666666,1
3902647296,842000.0,2022-04-07 14:42:00,2022-08-07 12:23:00,32,Số 17 Lý Nam Đế,0.0,114," , Huyện Bình Chánh , Hồ Chí Minh",75,411,175541.0,0,0,0.6666666666666666,1
2399924224,820000.0,2022-02-07 16:37:00,2022-02-07 16:50:00,11,Số 17 Lý Nam Đế,0.0,71," , Quận 9 , Hồ Chí Minh",75,48,13.0,0,0,0.3333333333333333,0
2399924224,820000.0,2022-02-07 16:37:00,2022-08-07 13:20:00,11,Số 17 Lý Nam Đế,0.0,71," , Quận 9 , Hồ Chí Minh",75,48,260443.0,0,0,0.6666666666666666,1
2924165120,993000.0,2022-06-07 09:24:00,2022-07-07 11:42:00,20," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",0.0,73," , Phường Tân Kiểng , Quận 7 , Thành phố Hồ Chí Minh",404,236,43338.0,0,0,0.6666666666666666,1
2924165120,993000.0,2022-06-07 09:24:00,2022-07-07 11:42:00,20," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",0.0,73," , Phường Tân Kiểng , Quận 7 , Thành phố Hồ Chí Minh",404,236,43338.0,0,0,0.6666666666666666,1
4745040896,954000.0,2022-01-07 19:22:00,2022-04-07 11:12:00,9," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",0.0,73," , Phường 15 , Quận Bình Thạnh , Thành phố Hồ Chí Minh",404,65,129110.0,0,0,0.6666666666666666,1
4745040896,954000.0,2022-01-07 19:22:00,2022-01-07 20:52:00,9," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",0.0,73," , Phường 15 , Quận Bình Thạnh , Thành phố Hồ Chí Minh",404,65,90.0,0,0,0.6666666666666666,1
300059648,903000.0,2022-08-07 01:17:00,2022-09-07 12:16:00,11," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",0.0,121," , Phường Tăng Nhơn Phú A , Thành phố Thủ Đức , Thành phố Hồ Chí Minh",404,221,45299.0,0,0,0.6666666666666666,1
300059648,903000.0,2022-08-07 01:17:00,2022-09-07 12:16:00,11," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",0.0,121," , Phường Tăng Nhơn Phú A , Thành phố Thủ Đức , Thành phố Hồ Chí Minh",404,221,45299.0,0,0,0.6666666666666666,1
3785408512,1054000.0,2022-02-07 15:19:00,2022-02-07 15:50:00,16," , Phường 15 , Quận 10 , Thành phố Hồ Chí Minh",0.0,67," , Phường 13 , Quận Tân Bình , Thành phố Hồ Chí Minh",70,169,31.0,0,0,0.3333333333333333,0
3785408512,1054000.0,2022-02-07 15:19:00,2022-03-07 10:00:00,16," , Phường 15 , Quận 10 , Thành phố Hồ Chí Minh",0.0,67," , Phường 13 , Quận Tân Bình , Thành phố Hồ Chí Minh",70,169,40001.0,0,0,0.6666666666666666,1
Y050722025,1877000.0,2022-04-07 20:47:00,2022-08-07 15:52:00,36,,0.0,136,,117,465,175385.0,0,0,0.6666666666666666,1
Y050722025,1877000.0,2022-04-07 20:47:00,2022-08-07 15:52:00,36,,0.0,136,,117,465,175385.0,0,0,0.6666666666666666,1
Y030722036,1675000.0,2022-02-07 22:38:00,2022-05-07 13:17:00,30,,0.0,136,,117,465,127599.0,0,0,0.6666666666666666,1
Y030722036,1675000.0,2022-02-07 22:38:00,2022-05-07 13:17:00,36,,0.0,136,,117,465,127599.0,0,0,0.6666666666666666,1
9433816064,1180000.0,2022-03-07 12:25:00,2022-07-07 10:47:00,16," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",0.0,84," , Phường 04 , Quận Tân Bình , Thành phố Hồ Chí Minh",306,158,175582.0,0,0,0.6666666666666666,1
9433816064,1180000.0,2022-03-07 12:25:00,2022-07-07 10:47:00,16," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",0.0,84," , Phường 04 , Quận Tân Bình , Thành phố Hồ Chí Minh",306,158,175582.0,0,0,0.6666666666666666,1
7077269504,1170000.0,2022-03-07 12:23:00,2022-07-07 12:36:00,15," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",0.0,84," , Phường 01 , Quận 5 , Thành phố Hồ Chí Minh",306,156,175693.0,0,0,0.6666666666666666,1
7077269504,1170000.0,2022-03-07 12:23:00,2022-03-07 12:36:00,15," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",0.0,84," , Phường 01 , Quận 5 , Thành phố Hồ Chí Minh",306,156,13.0,0,0,0.3333333333333333,0
2728772608,1050000.0,2022-05-07 12:53:00,2022-05-07 14:18:00,0," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",0.0,110," , Phường  An Lạc , Quận Bình Tân , Thành phố Hồ Chí Minh",306,7,85.0,0,0,0.6666666666666666,1
2728772608,1050000.0,2022-05-07 12:53:00,2022-08-07 14:18:00,0," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",0.0,110," , Phường  An Lạc , Quận Bình Tân , Thành phố Hồ Chí Minh",306,7,132565.0,0,0,0.6666666666666666,1
127840256,915000.0,2022-04-07 16:01:00,2022-08-07 10:55:00,32," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",0.0,110," , Xã Vĩnh Lộc B , Huyện Bình Chánh , Thành phố Hồ Chí Minh",306,409,175374.0,0,0,0.6666666666666666,1
127840256,915000.0,2022-04-07 16:01:00,2022-08-07 10:55:00,32," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",0.0,110," , Xã Vĩnh Lộc B , Huyện Bình Chánh , Thành phố Hồ Chí Minh",306,409,175374.0,0,0,0.6666666666666666,1
3127157760,864000.0,2022-03-07 16:53:00,2022-07-07 10:18:00,19," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",0.0,84," , Phường 16 , Quận Gò Vấp , Thành phố Hồ Chí Minh",306,222,175285.0,0,0,0.6666666666666666,1
